Option1_ID,Option1_Name,Option1_Category,Option2_ID,Option2_Name,Option2_Category,Synergy_Bonus,Synergy_Type,Description
synthfilter,Synthetic data controls,Mechanisms,predeploy,Pre-deployment evaluation,Mechanisms,0.09,Data governance,Synthetic data controls integrated into pre-deployment testing
runtime-mon,Runtime monitoring,Controls,incidentreg,Incident reporting registry,Mechanisms,0.14,Post-deployment monitoring,Red-flag runtime telemetry enables faster incident detection
runtime-mon,Runtime monitoring,Controls,killswitch,Kill-switch protocols,Controls,0.16,Post-deployment monitoring,Runtime monitoring can trigger automated kill switches
postdeploy,Periodic re-evaluations,Mechanisms,staged,Staged capability thresholds,Mechanisms,0.11,Post-deployment monitoring,Regular re-evaluation at capability milestones
whistle,Whistleblower protections,Mechanisms,safeharbour,Safe harbour provisions,Mechanisms,0.08,Incentives & safe harbours,Liability shield encourages prompt reporting
auditor,Auditor certification regimes,Mechanisms,insure,Mandatory liability insurance,Mechanisms,0.10,Incentives & safe harbours,Professional indemnity and tech liability insurance requirements
liability,Liability mechanisms,Mechanisms,bounties,Red-team bounties,Mechanisms,0.09,Incentives & safe harbours,Bounty programs linked to responsible disclosure
procure,Public procurement requirements,Mechanisms,standards,Standard setting,Mechanisms,0.12,Procurement & standards,Government purchasing power drives standards adoption
procure,Public procurement requirements,Mechanisms,auditor,Auditor certification regimes,Mechanisms,0.11,Procurement & standards,Approved auditor list gates public spending
energy,Energy/Power-use monitoring,Controls,cloudenf,Cloud-based enforcement,Controls,0.13,Energy/compute nexus,Metered enforcement through cloud infrastructure
energy,Energy/Power-use monitoring,Controls,computecaps,Technical compute caps,Controls,0.14,Energy/compute nexus,Physical power caps combined with billing caps
energy,Energy/Power-use monitoring,Controls,incidentreg,Incident reporting registry,Mechanisms,0.08,Energy/compute nexus,Power spike anomalies trigger incident reports
appdist,Model/app distribution gates,Mechanisms,licensing,Licensing,Mechanisms,0.12,Distribution controls,Distribution platforms enforce licensing requirements
modelreg,Model registry,Mechanisms,release-policy,Open weights exception framework,Mechanisms,0.06,Distribution controls,Registry tracks open-weight model exceptions
incident,Emergency response hub,Institutions,regulator,Independent national regulator,Institutions,0.09,Crisis management,Statutory escalation path for serious incidents
incident,Emergency response hub,Institutions,coord,Coordination of policy & regulation,Institutions,0.11,Crisis management,Cross-border incident response protocols
killswitch,Kill-switch protocols,Controls,licensing,Licensing,Mechanisms,0.10,Crisis management,Kill-switch capability as mandatory licensing condition
moratorium,Global Moratorium,Postures,dacc,D/Acc (defensive accelerationism),Postures,-0.12,Strategic contradictions,Moratorium contradicts defensive acceleration approach
release-policy,Open weights exception framework,Mechanisms,nonprolif,Non-proliferation,Postures,-0.08,Strategic contradictions,Open weights policy undermines non-proliferation efforts
export,Export controls,Controls,cooperate,Cooperative development,Postures,-0.05,Strategic contradictions,Export restrictions hinder international cooperation
